day,product_title,variant_title,total_sales,net_quantity
2016-01-01,,,0.000,0
2016-01-02,,,0.000,0
2016-01-03,,,0.000,0
2016-01-04,,,0.000,0
2016-01-05,Brownie,Default Title,0.000,0
2016-01-06,Brownie,Default Title,30.000,1
2016-01-07,,,0.000,0
2016-01-08,Hindærsnitte,Default Title,50.000,2
2016-01-08,Kanelsnegl,Default Title,25.000,1
2016-01-08,Brownie,Default Title,30.000,1
2016-01-09,,,0.000,0
2016-01-10,,,0.000,0
2016-01-11,,,0.000,0
2016-01-12,,,0.000,0
2016-01-13,,,0.000,0
2016-01-14,,,0.000,0
2016-01-15,,,0.000,0
2016-01-16,,,0.000,0
2016-01-17,,,0.000,0
2016-01-18,,,0.000,0
2016-01-19,,,0.000,0
2016-01-20,Brownie,Default Title,90.000,3
2016-01-21,,,0.000,0
2016-01-22,,,0.000,0
2016-01-23,,,0.000,0
2016-01-24,,,0.000,0
2016-01-25,Kanelsnegl,Default Title,25.000,1
2016-01-25,Brownie,Default Title,60.000,2
2016-01-26,Other brød,Default Title,45.000,1
2016-01-26,Brownie,Default Title,211.000,8
2016-01-26,Hindærsnitte,Default Title,250.000,10
2016-01-26,Karamel Croissant,Default Title,108.000,4
2016-01-26,Kanelsnegl,Default Title,400.000,16
2016-01-27,Brownie,Default Title,360.000,12
2016-01-27,Landbrød,Default Title,80.000,2
2016-01-27,Hindærsnitte,Default Title,150.000,6
2016-01-27,Other brød,Default Title,45.000,1
2016-01-27,Karamel Croissant,Default Title,81.000,3
2016-01-27,Kanelsnegl,Default Title,325.000,13
2016-01-28,Karamel Croissant,Default Title,135.000,5
2016-01-28,Other brød,Default Title,45.000,1
2016-01-28,Landbrød,Default Title,40.000,1
2016-01-28,Hindærsnitte,Default Title,100.000,4
2016-01-28,Brownie,Default Title,205.000,7
2016-01-28,Kanelsnegl,Default Title,300.000,12
2016-01-29,Kanelsnegl,Default Title,350.000,14
2016-01-29,Karamel Croissant,Default Title,162.000,6
2016-01-29,Hindærsnitte,Default Title,150.000,6
2016-01-29,Landbrød,Default Title,160.000,4
2016-01-29,Brownie,Default Title,210.000,7
2016-01-30,Kanelsnegl,Default Title,650.000,26
2016-01-30,Karamel Croissant,Default Title,270.000,10
2016-01-30,Brownie,Default Title,480.000,16
2016-01-30,Hindærsnitte,Default Title,225.000,9
2016-01-31,Karamel Croissant,Default Title,243.000,9
2016-01-31,Landbrød,Default Title,80.000,2
2016-01-31,Brownie,Default Title,150.000,5
2016-01-31,Kanelsnegl,Default Title,436.500,18
2016-02-01,Other brød,Default Title,45.000,1
2016-02-01,Hindærsnitte,Default Title,175.000,7
2016-02-01,Landbrød,Default Title,120.000,3
2016-02-01,Kanelsnegl,Default Title,450.000,18
2016-02-01,Brownie,Default Title,150.000,5
2016-02-01,Karamel Croissant,Default Title,135.000,5
2016-02-02,Landbrød,Default Title,80.000,2
2016-02-02,Kanelsnegl,Default Title,397.340,16
2016-02-02,Brownie,Default Title,150.000,5
2016-02-02,Karamel Croissant,Default Title,162.000,6
2016-02-02,Other brød,Default Title,45.000,1
2016-02-02,Hindærsnitte,Default Title,150.000,6
2016-02-03,Other brød,Default Title,45.000,1
2016-02-03,Kanelsnegl,Default Title,373.190,15
2016-02-03,Hindærsnitte,Default Title,100.000,4
2016-02-03,Landbrød,Default Title,40.000,1
2016-02-03,Brownie,Default Title,120.000,4
2016-02-04,Karamel Croissant,Default Title,135.000,5
2016-02-04,Brownie,Default Title,120.000,4
2016-02-04,Kanelsnegl,Default Title,461.030,19
2016-02-04,Hindærsnitte,Default Title,40.000,2
2016-02-04,Landbrød,Default Title,110.000,3
2016-02-05,Karamel Croissant,Default Title,243.000,9
2016-02-05,Landbrød,Default Title,120.000,3
2016-02-05,Brownie,Default Title,270.000,9
2016-02-05,Kanelsnegl,Default Title,470.000,20
2016-02-05,Other brød,Default Title,70.000,2
2016-02-05,Hindærsnitte,Default Title,175.000,7
2016-02-06,Kanelsnegl,Default Title,740.000,30
2016-02-06,Hindærsnitte,Default Title,150.000,6
2016-02-06,Karamel Croissant,Default Title,162.000,6
2016-02-06,Brownie,Default Title,360.000,12
2016-02-07,Brownie,Default Title,270.000,9
2016-02-07,Hindærsnitte,Default Title,75.000,3
2016-02-07,Kanelsnegl,Default Title,275.000,11
2016-02-07,Karamel Croissant,Default Title,108.000,4
2016-02-08,Landbrød,Default Title,80.000,2
2016-02-08,Kanelsnegl,Default Title,325.000,13
2016-02-08,Brownie,Default Title,90.000,3
2016-02-08,Karamel Croissant,Default Title,162.000,6
2016-02-09,Other brød,Default Title,45.000,1
2016-02-09,Karamel Croissant,Default Title,108.000,4
2016-02-09,Brownie,Default Title,120.000,4
2016-02-09,Kanelsnegl,Default Title,275.000,11
2016-02-09,Landbrød,Default Title,40.000,1
2016-02-09,Hindærsnitte,Default Title,75.000,3
2016-02-10,Hindærsnitte,Default Title,100.000,4
2016-02-10,Brownie,Default Title,55.000,2
2016-02-10,Karamel Croissant,Default Title,108.000,4
2016-02-10,Kanelsnegl,Default Title,337.950,14
2016-02-11,Kanelsnegl,Default Title,550.000,22
2016-02-11,Karamel Croissant,Default Title,162.000,6
2016-02-11,Landbrød,Default Title,40.000,1
2016-02-11,Hindærsnitte,Default Title,225.000,9
2016-02-11,Brownie,Default Title,240.000,8
2016-02-11,Other brød,Default Title,90.000,2
2016-02-12,Brownie,Default Title,210.000,7
2016-02-12,Landbrød,Default Title,80.000,2
2016-02-12,Kanelsnegl,Default Title,350.000,14
